SuccessRate,Perturbation_Mag,VisualSimilarity,Avg_Confidence,Confidence_Gap,Score,,,,,,,,,,,,,,
1,3.3926,0.9369,0.9835,-0.0519,0.791,,,,,,,,,,,,,,
1,10.0055,0.6588,0.9848,-0.0531,0.6996,,,,,,,,,,,,,,
1,1.2206,0.9887,0.9104,0.0212,0.8131,,,,,,,,,,,,,,
0.985,1.5036,0.987,0.9958,-0.0651,0.8086,,,,,,,,,,,,,,
1,2.2847,0.9572,0.9025,0.0291,0.8011,,,,,,,,,,,,,,
0.984,1.4541,0.9878,0.9949,-0.0644,0.8088,,,,,,,,,,,,,,
0.934,1.2998,0.9901,0.9844,-0.0575,0.8012,,,,,,,,,,,,,,
0.987,1.5102,0.9869,0.9962,-0.0654,0.8089,,,,,,,,,,,,,,
0.949,1.3508,0.9893,0.9839,-0.0558,0.8034,,,,,,,,,,,,,,
0.949,1.3508,0.9893,0.9839,-0.0558,0.8034,,,,,,,,,,,,,,
0.059,0.0314,1,0.7423,-0.5914,0.5348,,,,,,,,,,,,,,
0.043,0.8697,0.9595,0.7246,-0.561,0.5216,,,,,,,,,,,,,,
0.357,4.3243,0.9416,0.7434,0.0746,0.6608,,,,,,,,,,,,,,
0.943,13.09,0.5544,0.5024,0.4256,0.6519,,,,,,,,,,,,,,
0.977,0.3323,0.9992,0.72,0.2101,0.8159,,,,,,,,,,,,,,
1,0.3768,0.999,0.7177,0.2139,0.8198,,,,,,,,,,,,,,
1,0.3768,0.999,0.7177,0.2139,0.8198,,,,,,,,,,,,,,
0.059,0,1,0.7424,-0.5916,0.535,,,,,,,,,,,,,,
1,2.2847,0.9572,0.9025,0.0291,0.8011,,,,,,,,,,,,,,
1,2.2847,0.9572,0.9025,0.0291,0.8011,,,,,,,,,,,,,,
1,2.2847,0.9572,0.9025,0.0291,0.8011,,,,,,,,,,,,,,
0.993,1.5354,0.9863,0.9962,-0.065,0.8097,,,,,,,,,,,,,,
1,1.5683,0.9814,0.9284,0.0032,0.8098,,,,,,,,,,,,,,
0.063,0.0313,1,0.7656,-0.5304,0.5495,,,,,,,,,,,,,,
0.994,0.3475,0.9991,0.5716,0.3604,0.819,,,,,,,,,,,,,,
0.995,0.3494,0.9991,0.573,0.3588,0.8191,,,,,,,,,,,,,,
0.997,0.3671,0.999,0.6032,0.3286,0.8194,,,,,,,,,,,,,,
0.982,0.349,0.9991,0.5999,0.3305,0.8167,,,,,,,,,,,,,,
0.985,0.3335,0.9992,0.5377,0.3932,0.8174,,,,,,,,,,,,,,
0.991,0.4621,0.9959,0.5635,0.3678,0.8171,,,,,,,,,,,,,,
0.987,0.3527,0.9991,0.5534,0.3774,0.8176,,,,,,,,,,,,,, 
0.991,1.5194,0.9866,0.9957,-0.0646,0.8095,,,,,,,,,,,,,,
0.99,1.4967,0.987,0.9939,-0.063,0.8095,,,,,,,,,,,,,,
0.081,0.0055,1,0.6764,-0.3766,0.5634,,,,,,,,,,,,,,
0.059,0,1,0.7424,-0.5916,0.535,,,,,,,,,,,,,,
0.538,1.7249,0.9823,0.9068,-0.0326,0.7225,,,,,,,,,,,,,,
0.538,1.7249,0.9823,0.9068,-0.0326,0.7225,,,,,,,,,,,,,,
0.132,0.0465,1,0.6659,-0.1411,0.6092,,,,,,,,,,,,,,
0.993,1.4711,0.9875,0.9918,-0.0607,0.8103,,,,,,,,,,,,,,
0.984,1.3107,0.99,0.9927,-0.0622,0.8101,,,,,,,,,,,,,,
0.885,19.2563,0.3236,0.8058,0.1196,0.5623,,,,,,,,,,,,,,
0.893,31.0403,0.0021,0.7553,0.1729,0.436,,,,,,,,,,,,,,
0.542,1.725,0.9822,0.9033,-0.0282,0.7233,,,,,,,,,,,,,,
0.982,1.3056,0.99,0.9907,-0.0603,0.8097,,,,,,,,,,,,,,
0.982,1.3056,0.99,0.9907,-0.0603,0.8097,,,,,,,,,,,,,,
0.999,4.9993,0.8785,0.9378,-0.0062,0.7705,,,,,,,,,,,,,,
1,2.375,0.9684,0.98,-0.0483,0.8028,,,,,,,,,,,,,,
0.059,0.0314,1,0.7423,-0.5914,0.5348,,,,,,,,,,,,,,
0.991,1.466,0.9876,0.9906,-0.0596,0.81,,,,,,,,,,,,,,
0.076,0.0047,1,0.6863,-0.4094,0.5588,,,,,,,,,,,,,,
0.954,1.3507,0.9894,0.9844,-0.056,0.8044,,,,,,,,,,,,,,
0.077,0.0314,1,0.7762,-0.5009,0.5585,,,,,,,,,,,,,,
0.945,1.3512,0.9893,0.985,-0.0573,0.8027,,,,,,,,,,,,,,
0.696,0.745,0.9946,0.7435,0.1588,0.7613,,,,,,,,,,,,,,
0.081,0.0055,1,0.6763,-0.3766,0.5634,,,,,,,,,,,,,,
0.077,0.0314,1,0.7765,-0.5013,0.5585,,,,,,,,,,,,,,
0.942,1.3514,0.9893,0.9853,-0.0578,0.8022,,,,,,,,,,,,,,
0.072,0.0033,1,0.6959,-0.4593,0.5514,,,,,,,,,,,,,,
0.065,0.0029,1,0.7214,-0.534,0.5421,,,,,,,,,,,,,,
0.06,0.0001,1,0.7372,-0.5817,0.5359,,,,,,,,,,,,,,
0.06,0.0005,1,0.7372,-0.5816,0.5359,,,,,,,,,,,,,,
0.951,1.3507,0.9893,0.9839,-0.0557,0.8038,,,,,,,,,,,,,,
0.95,1.351,0.9893,0.9819,-0.0538,0.8036,,,,,,,,,,,,,,
0.948,1.3503,0.9893,0.9856,-0.0577,0.8033,,,,,,,,,,,,,,
0.945,1.3505,0.9893,0.9819,-0.0541,0.8027,,,,,,,,,,,,,,
0.945,1.3505,0.9893,0.9819,-0.0541,0.8027,,,,,,,,,,,,,,
